Item no,Brand no,Item type,Gender,Size,Price,Availability,Suggestion Priority,Suggestion Category,Checked
10012821,SEJ by Nisha Gupta,SEJ by Nisha Gupta Set of 6 Yellow & Blue Printed Table Placemats,Unisex,,2984.68,,1,,No
10006073,ID,ID Men Brown Leather Loafers,Men,,4043.7599999999998,,1,,No
10013491,PARFAIT,PARFAIT Plus Size Red Solid Underwired Lightly Padded T-shirt Bra P5391,Women,,5341.88,,1,,No
10009773,SPYKAR,SPYKAR Women Blue Adora Skinny Fit Mid-Rise Mildly Distressed Stretchable Cropped Jeans,Women,,4030.48,,1,,No
10009643,SPYKAR,SPYKAR Women Blue Adora Skinny Fit Mid-Rise Clean Look Stretchable Cropped Jeans,Women,,2984.68,,1,,No
10015831,Raymond,Raymond Men Blue Regular Fit Self Design Formal Shirt,Men,,3831.2799999999997,,1,,No
10014675,BuckleUp,BuckleUp Women Multicoloured Printed Belt,Women,,1490.6799999999998,,1,,No
10012761,Peter England,Peter England Men Black Briefs PIWBK9146012,Men,,883.12,,1,,No
10001887,AIGNER,AIGNER Men Platinum Eau De Toilette Perfume 100 ml,Men,,12084.8,,1,,No
10003179,Gini and Jony,Gini and Jony Girls Blue Solid Jacket,Girls,,3947.48,,1,,No
10003821,Homesake,Homesake Gold-Toned Solid Handcrafted Table Lamp with Shade,Unisex,,6095.5199999999995,,1,,No
10017017,Campus Sutra,Campus Sutra Men Black Solid Round Neck Faux Leather T-shirt,Men,,2320.68,,1,,No
10012721,MIAH Decor,MIAH Decor Set of 3 Blue & Off-White Handpainted Kitchen Storage Jars with Lids,Unisex,,10345.119999999999,,1,,No
10003341,Gini and Jony,Gini and Jony Girls Peach-Coloured Floral Embroidered Fit & Flare Dress,Girls,,4926.88,,1,,No
10013417,SEJ by Nisha Gupta,SEJ by Nisha Gupta Blue & Green Printed Wooden Open Dry Bin,Unisex,,3316.68,,1,,No
10017923,Parx,Parx Men Blue Slim Fit Checked Casual Shirt,Men,,2851.8799999999997,,1,,No
10013665,PARFAIT,PARFAIT Plus Size Black Lace Non-Wired Non Padded Everyday Bra P5482,Women,,5574.28,,1,,No
10017595,Parx,Parx Men Blue Slim Fit Checked Casual Shirt,Men,,3117.48,,1,,No
10000805,Lady Lyka,Lady Lyka Women Pack of 2 Beginners Bras TEENAGER-WHT-BLK,Women,,1411.0,,1,,No
10012769,SEJ by Nisha Gupta,SEJ by Nisha Gupta Set of 4 Multicoloured Printed Table Placemats,Unisex,,2652.68,,1,,No
10007835,her by invictus,her by invictus Women Red Cushioned Loafers,Women,,4312.679999999999,,1,,No
10012881,JEWEL JUNCTION,JEWEL JUNCTION Gold-Toned & Black Round Cufflinks,Men,,1789.48,,1,,No
10013617,PARFAIT,PARFAIT Plus Size Black Solid Non-Wired Non Padded Sports Bra P5542,Women,,5806.679999999999,,1,,No
10007811,her by invictus,her by invictus Women Tan Brown Cushioned Slip-on Shoes,Women,,3150.68,,1,,No
10017427,DKNY,DKNY Unisex Black Medium Trolley Bag,Unisex,,44222.4,,1,,No
10017899,Parx,Parx Men Yellow & Off-White Slim Fit Checked Casual Shirt,Men,,2148.04,,1,,No
10017369,Story@home,Story@home Mauve & Grey Geometric 210 TC Cotton 1 King Bedsheet with 2 Pillow Covers,Unisex,,5972.679999999999,,1,,No
10017671,Parx,Parx Men Blue & Off-White Slim Fit Printed Casual Shirt,Men,,2586.2799999999997,,1,,No
10007595,her by invictus,her by invictus Women Green Cushioned Slip-Ons,Women,,6636.679999999999,,1,,No
10004343,Park Avenue,Park Avenue Women Blue Skinny Fit Mid-Rise Clean Look Jeans,Women,,1889.08,,1,,No
10007683,Roadster,Roadster Women Black Textured Open Toe Flats,Women,,5640.679999999999,,1,,No
10007801,her by invictus,her by invictus Women Black Textured Cushioned Flats,Women,,3134.08,,1,,No
10002181,U.S. Polo Assn. Denim Co.,U.S. Polo Assn. Denim Co. Men Navy Blue Solid Bomber Jacket,Men,,11616.68,,1,,No
10012783,SEJ by Nisha Gupta,SEJ by Nisha Gupta Set of 6 Pink Printed Table Placemats,Unisex,,2984.68,,1,,No
10003387,Gini and Jony,Gini and Jony Girls Navy Blue Washed Denim Jacket,Girls,,4412.28,,1,,No
10004053,Sweet Dreams,Sweet Dreams Men Navy Blue Solid Straight-Fit Trackpants,Men,,2320.68,,1,,No
10017211,Kazo,Kazo Women Yellow Floral Print Shirt Dress,Women,,4465.4,,1,,No
10003299,Gini and Jony,Gini and Jony Boys Red & Grey Melange Solid Varsity Jacket with Applique Detail,Boys,,2154.68,,1,,No
10013569,PARFAIT,PARFAIT Plus Size Beige Solid Underwired Lightly Padded Plunge Bra 2801,Women,,3947.48,,1,,No
10017835,Parx,Parx Men Blue Slim Fit Checked Casual Shirt,Men,,2785.48,,1,,No
10017771,Parx,Parx Men Black & Red Slim Fit Checked Casual Shirt,Men,,1915.6399999999999,,1,,No
10006019,ID,ID Men Tan Brown Formal Leather Oxfords,Men,,4754.24,,1,,No
10002825,Stylo Bug,Stylo Bug Girls Turquoise Blue A-Line Dress,Girls,,2317.3599999999997,,1,,No
10013703,PARFAIT,PARFAIT Plus Size Women Black  Red Printed Lace Detail Hipster Brief 2805,Women,,2984.68,,1,,No
10012713,MIAH Decor,MIAH Decor Set Of 5 Handcrafted Ceramic Kulladhs,Unisex,,2871.7999999999997,,1,,No
10012875,JEWEL JUNCTION,JEWEL JUNCTION Gold-Toned Geometric Cufflinks,Men,,1789.48,,1,,No
10015997,Tokyo Talkies,Tokyo Talkies Women Black & Red Floral Print Fit and Flare Dress,Women,,1656.6799999999998,,1,,No
10012771,SEJ by Nisha Gupta,SEJ by Nisha Gupta Set of 6 Printed Table Placemats,Unisex,,2984.68,,1,,No
10013055,Sera,Sera Women Black Printed Loose Fit Regular Shorts,Women,,1816.04,,1,,No
10003213,Gini and Jony,Gini and Jony Boys Black & Grey Embroidered Regular Fit Shorts,Boys,,2785.48,,1,,No
10014775,AccessHer,AccessHer Gold-Plated & Black Multistrand Head Chain,Women,,1855.8799999999999,,1,,No
10002337,Bvlgari,Bvlgari Women Splendida Iris D'Or Eau De Parfum 100 ml,Women,,36354.0,,1,,No
1000745,ahilya,ahilya Sterling Silver Statement Ring,Women,,12865.0,,1,,No
10009685,SPYKAR,SPYKAR Women Blue Alexa Super Skinny Fit High-Rise Clean Look Stretchable Cropped Jeans,Women,,4030.48,,1,,No
10012429,FIDO DIDO,FIDO DIDO Men Grey & Black Printed Colourblocked Polo Collar T-shirt,Men,,1988.6799999999998,,1,,No
10017723,Parx,Parx Men Pink Slim Fit Solid Casual Shirt,Men,,2453.48,,1,,No
10017855,Parx,Parx Men Navy Blue Slim Fit Printed Casual Shirt,Men,,2453.48,,1,,No
10013025,Sera,Sera Women White Self Design Top,Women,,2370.48,,1,,No
10001211,Bvlgari,Bvlgari Women Omnia Crystalline Eau De Toilette 40 ml,Women,,18758.0,,1,,No
10006003,ID,ID Men Grey Solid Thong Flip-Flops,Men,,5594.2,,1,,No
10012841,JEWEL JUNCTION,JEWEL JUNCTION Silver-Toned Geometric Cufflinks,Men,,1789.48,,1,,No
10017423,DKNY,DKNY Unisex Gold & White Printed Cabin Trolley Bag,Unisex,,47808.0,,1,,No
10000599,Parx,Parx Men Khaki Slim Fit Solid Regular Trousers,Men,,2785.48,,1,,No
10002809,Qraa Men,Qraa Men Pack of 2 Face And Beard Wash 100gm each,Men,,1115.52,,1,,No
10013641,PARFAIT,PARFAIT Plus Size Blue Lace Underwired Lightly Padded Plunge Bra P5351,Women,,5806.679999999999,,1,,No
10000657,Lady Lyka,Lady Lyka Women Peach and Burgundy Pack of 2 Everyday Bras ENTIZER-11-PCH-WHN,Women,,1693.1999999999998,,1,,No
10005937,Difference of Opinion,Difference of Opinion Men Olive Green Printed Round Neck T-shirt,Men,,1656.6799999999998,,1,,No
10001573,Michael Kors,Michael Kors Women Eau de Toilette 50 ml,Women,,18973.8,,1,,No
10003809,Homesake,Homesake Gold-Toned & White Solid Handcrafted Table Lamp with Shade,Unisex,,5750.24,,1,,No
10006069,ID,ID Men Black Leather Formal Derbys,Men,,5401.639999999999,,1,,No
10017501,Soie,Soie Brown Underwired Non Padded full coverage Everyday Bra FB-610CRIMSON,Women,,2300.7599999999998,,1,,No
10002079,GAS,GAS Women Navy Blue Regular Fit Mid-Rise Clean Look Stretchable Jeans,Women,,11935.4,,1,,No
10003807,Homesake,Homesake Gold-Toned & Navy Blue Solid Handcrafted Table Lamp with Shade,Unisex,,6274.799999999999,,1,,No
10004165,HIGHLANDER,HIGHLANDER Men Navy Blue & Grey Slim Fit Striped Regular Trousers,Men,,4312.679999999999,,1,,No
10013269,WITH,WITH Men Black Slim Fit Solid Casual Shirt,Men,,2270.88,,1,,No
10006075,ID,ID Men Black Leather Formal Derbys,Men,,8914.199999999999,,1,,No
10009637,SPYKAR,SPYKAR Women White Alexa Super Skinny Fit High-Rise Clean Look Stretchable Ankle Jeans,Women,,6636.679999999999,,1,,No
10017093,ZUSH,ZUSH Plus Size Women Black Regular Fit Mid-Rise Clean Look Jeans,Women,,4312.679999999999,,1,,No
10017355,Story@home,Story@home Mustard Floral 210 TC Cotton 1 King Bedsheet with 2 Pillow Covers,Unisex,,3980.68,,1,,No
10017447,DKNY,DKNY Unisex Gold & White Printed Large Trolley Bag,Unisex,,53867.0,,1,,No
10017013,Campus Sutra,Campus Sutra Men Green & Navy Blue Regular Fit Checked Casual Shirt,Men,,1696.52,,1,,No
10017053,Campus Sutra,Campus Sutra Men Navy & Grey Melange Standard Regular Fit Colourblocked Casual Shirt,Men,,4312.679999999999,,1,,No
10017599,Parx,Parx Men Blue Slim Fit Checked Casual Shirt,Men,,2320.68,,1,,No
10002785,JBN Creation,JBN Creation Boys Maroon & Brown Sherwani Set,Boys,,3831.2799999999997,,1,,No
1000905,U.S. Polo Assn. Kids,U.S. Polo Assn. Kids Boys Navy Hooded Sweatshirt,Boys,,4096.88,,1,,No
10001445,Bvlgari,Bvlgari Women Omnia Paraiba Eau De Toilette Perfume 65 ml,Women,,23240.0,,1,,No
10013603,PARFAIT,PARFAIT Plus Size Black Solid Underwired Lightly Padded Everyday Bra P5011,Women,,6039.08,,1,,No
10013585,PARFAIT,PARFAIT Plus Size Beige Self Design Underwired Non Padded Minimizer Bra P5272,Women,,5806.679999999999,,1,,No
10012865,JEWEL JUNCTION,JEWEL JUNCTION Silver-Toned Geometric Cufflinks,Men,,1789.48,,1,,No
10017417,DKNY,DKNY Unisex Black Large Trolley Bag,Unisex,,46463.399999999994,,1,,No
1001423,DressBerry,DressBerry Off-White Sequinned Top,Women,,2320.68,,1,,No
10017719,Parx,Parx Men Blue Slim Fit Checked Casual Shirt,Men,,2436.88,,1,,No
10014659,BuckleUp,BuckleUp Women Blue Textured Belt,Women,,1490.6799999999998,,1,,No
10003183,Gini and Jony,Gini and Jony Boys Black & White Regular Fit Printed Trousers,Boys,,3482.68,,1,,No
10013567,PARFAIT,PARFAIT Plus Size Women Lavender Lace Boy Shorts 2805,Women,,2984.68,,1,,No
10001975,Bvlgari,Bvlgari Goldea Women The Roman Night Eau De Parfum 75 ml,Women,,32370.0,,1,,No
10017747,Parx,Parx Men Maroon Slim Fit Printed Casual Shirt,Men,,2380.44,,1,,No
10015929,ColorPlus,ColorPlus Men Blue Regular Fit Checked Formal Trousers,Men,,3980.68,,1,,No
10017913,Parx,Parx Men Off-White & Blue Slim Fit Printed Casual Shirt,Men,,2536.48,,1,,No
10004129,HIGHLANDER,HIGHLANDER Men Grey Slim Fit Self Design Regular Trousers,Men,,4312.679999999999,,1,,No
10012919,Parx,Parx Men Beige Slim Fit Solid Regular Trousers,Men,,3051.08,,1,,No
10015983,Tokyo Talkies,Tokyo Talkies Women Green Solid Top,Women,,2320.68,,1,,No
10014677,BuckleUp,BuckleUp Women Tan Textured Belt,Women,,1490.6799999999998,,1,,No
10009715,SPYKAR,SPYKAR Women Black Alexa Super Skinny Fit High-Rise Clean Look Stretchable Jeans,Women,,6636.679999999999,,1,,No
10012733,MIAH Decor,MIAH Decor Set Of 2 Ceramic Bowls,Unisex,,3283.48,,1,,No
10012349,Lakme,Lakme Absolute Matte Melt Liquid Lip Color - 21 Mauve Mix 6 ml,Women,,1328.0,,1,,No
10017079,Campus Sutra,Campus Sutra Men Blue & White Ombre-Dyed Henley Neck T-shirt,Men,,2320.68,,1,,No
10002675,Allen Solly Woman,Allen Solly Woman Women White Printed Top,Women,,2456.7999999999997,,1,,No
10003177,Palm Tree,Palm Tree Girls Pink Solid Bomber Jacket,Girls,,4976.679999999999,,1,,No
10013677,PARFAIT,PARFAIT Plus Size Purple  Pink Lace Underwired Lightly Padded T-shirt Bra P5581,Women,,3947.48,,1,,No
1001774,Arrow,Arrow Taupe Tapered Fit Formal Trousers,Men,,3881.08,,1,,No
10012959,JEWEL JUNCTION,JEWEL JUNCTION Silver-Toned Geometric Cufflinks,Men,,1789.48,,1,,No
10005885,Difference of Opinion,Difference of Opinion Men Mustard Yellow Solid Round Neck T-shirt with Printed Detailing,Men,,1656.6799999999998,,1,,No
10012497,AccessHer,AccessHer Women Gold-Plated & White Kundan-Studded Flower-Shaped Nosepin,Women,,886.4399999999999,,1,,No
10004169,HIGHLANDER,HIGHLANDER Men Grey & Black Striped Round Neck T-shirt,Men,,2320.68,,1,,No
10000775,Lady Lyka,Lady Lyka Women Pack of 2 Beginners Bras TEENAGER-RED-WHT,Women,,1411.0,,1,,No
10017441,DKNY,DKNY Unisex Silver Medium Trolley Bag,Unisex,,41085.0,,1,,No
10016679,Raymond,Raymond Men Green Printed Polo Collar T-shirt,Men,,3134.08,,1,,No
10012371,Lakme,Lakme Absolute Matte Melt Liquid Lip Color - 23 Pink Poison 6 ml,Women,,1328.0,,1,,No
10012335,Lakme,Lakme Absolute Mattreal Mousse Concealer - Caramel 04 9 g,Women,,1593.6,,1,,No
10001931,DAVID BECKHAM,DAVID BECKHAM Men Respect Eau De Toilette 90 ml,Men,,5776.799999999999,,1,,No
10014817,AccessHer,AccessHer Gold-Toned & Yellow Classic Drop Earrings,Women,,1792.8,,1,,No
10002341,MANGO,MANGO Women Black & Yellow Floral Print Layered Top,Women,,5298.719999999999,,1,,No
10004325,Park Avenue,Park Avenue Women Maroon Self Design Top,Women,,1889.08,,1,,No
1000717,ahilya,ahilya Maroon Gold-Plated Sterling Silver Hoop Earrings,Women,,19913.36,,1,,No
10014941,AccessHer,AccessHer Gold-Plated & Black Beaded Mangalsutra,Women,,1062.3999999999999,,1,,No
10000747,Lady Lyka,Lady Lyka Women Beige and White Pack of 2 Beginners Bras ATHLETE-SKN-WHT-Multi,Women,,1411.0,,1,,No
10017391,Story@home,Story@home Blue & Pink Floral 210 TC Cotton 1 King Bedsheet with 2 Pillow Covers,Unisex,,3980.68,,1,,No
10015151,Urban Dog,Urban Dog Men Charcoal Black Printed Regular Fit Sports Shorts,Men,,1324.6799999999998,,1,,No
10006081,ID,ID Men Beige Solid Leather Mid-Top Flat Boots,Men,,10906.199999999999,,1,,No
10017167,Carrera,Carrera Men Tan Brown Flat Boots,Men,,17592.68,,1,,No
10017347,Story@home,Story@home Olive Green & Grey Geometric 210 TC Cotton 1 King Bedsheet with 2 Pillow Covers,Unisex,,4644.679999999999,,1,,No
10017031,Campus Sutra,Campus Sutra Men Red & Black Standard Regular Fit Checked Casual Shirt,Men,,2320.68,,1,,No
10003277,Gini and Jony,Gini and Jony Boys Black Regular Fit Solid Chinos,Boys,,2785.48,,1,,No
10017363,Story@home,Story@home Green & White Floral 210 TC Cotton 1 King Bedsheet with 2 Pillow Covers,Unisex,,3980.68,,1,,No
10017439,DKNY,DKNY Unisex Maroon Solid Leather Backpack with Pouch,Unisex,,32419.8,,1,,No
10000553,Parx,Parx Men Khaki Tapered Fit Solid Regular Trousers,Men,,2669.2799999999997,,1,,No
10017481,Soie,Soie Green Self Design Underwired Non Padded Everyday Bra FB-610,Women,,2416.96,,1,,No
10012373,Raymond,Raymond Men Maroon Striped Polo Collar T-shirt,Men,,3316.68,,1,,No
10012355,Lakme,Lakme Absolute Matte Melt Liquid Lip Color - 15 Rose Love 6 ml,Women,,1328.0,,1,,No
10003051,Gini and Jony,Gini and Jony Girls Navy Blue Denim Striped Pinafore Dress,Girls,,5109.48,,1,,No
10013691,PARFAIT,PARFAIT Plus Size Black Solid Underwired Lightly Padded Everyday Bra 4815,Women,,5341.88,,1,,No
10017847,Parx,Parx Men White & Blue Slim Fit Printed Casual Shirt,Men,,2121.48,,1,,No
10015167,Urban Dog,Urban Dog Men Black Printed Regular Fit Sports Shorts,Men,,1324.6799999999998,,1,,No
10017043,Campus Sutra,Campus Sutra Men Blue Standard Regular Fit Checked Casual Shirt,Men,,1988.6799999999998,,1,,No
10016271,EthnoVogue,EthnoVogue Women Coral Pink & Orange Printed Made to Measure Printed Maxi Dress,Women,,15182.359999999999,,1,,No
10013487,PARFAIT,PARFAIT Plus Size Black Solid Underwired Lightly Padded T-shirt Bra 4812,Women,,5341.88,,1,,No
10000811,Lady Lyka,Lady Lyka Women Brown and Grey Pack of 2 Everyday Bras COULOUR-POP-BRN-GRY,Women,,1411.0,,1,,No
10013707,PARFAIT,PARFAIT Plus Size Women Navy Blue Solid Hipster Brief P5645,Women,,2984.68,,1,,No
10015985,Tokyo Talkies,Tokyo Talkies Women Burgundy Solid Top,Women,,972.76,,1,,No
10017651,Parx,Parx Men Blue & Yellow Slim Fit Checked Casual Shirt,Men,,2785.48,,1,,No
10002753,ROMEE,ROMEE Grey & Red Floral AC Room 300 GSM Single Bed Dohar,Unisex,,6636.679999999999,,1,,No
10017113,ZUSH,ZUSH Plus Size Women Black Regular Fit Mid-Rise Clean Look Jeans,Women,,4146.679999999999,,1,,No
10000697,Lady Lyka,Lady Lyka Women Maroon and Beige Pack of 2 Everyday Bras MONALISA-MRN-SKN-Multi,Women,,1968.76,,1,,No
10013243,TAYHAA,TAYHAA White Solid Rectangular Photo Frame,Unisex,,1162.0,,1,,No
10003303,Gini and Jony,Gini and Jony Boys Navy Blue Slim Fit Printed Regular Trousers,Boys,,3947.48,,1,,No
10013787,Ishin,Ishin Women Red & Gold-Toned Hem Design Wide Leg Palazzos,Women,,1739.6799999999998,,1,,No
10001425,Shoe Couture,Shoe Couture Women White & Black Applique Detail Sneakers,Women,,4030.48,,1,,No
10012725,MIAH Decor,MIAH Decor Multicoloured Coffee Mugs Cum Serving Tea Cups Set,Unisex,,3233.68,,1,,No
10017587,Parx,Parx Men Red & Blue Slim Fit Checked Casual Shirt,Men,,2586.2799999999997,,1,,No
10014735,WITH,WITH Men Pack of 2 Printed Pure Cotton Boxers WB43-WB54,Men,,2031.84,,1,,No
10013519,PARFAIT,PARFAIT Plus Size Red Lace Underwired Non Padded Everyday Bra P5392,Women,,5574.28,,1,,No
10013727,PARFAIT,PARFAIT Plus Size Women Navy Blue  White Solid Bikini Briefs PP503,Women,,1656.6799999999998,,1,,No
10011181,HARBORNBAY,HARBORNBAY Men Navy Blue & Grey Striped Henley Neck T-shirt,Men,,1487.36,,1,,No
10005911,Difference of Opinion,Difference of Opinion Men Black Printed Round Neck T-shirt,Men,,1656.6799999999998,,1,,No
10009771,SPYKAR,SPYKAR Women Blue Alicia Super Skinny Fit Low-Rise Clean Look Stretchable Cropped Jeans,Women,,3283.48,,1,,No
10012909,Parx,Parx Men Blue Slim Fit Self Design Regular Trousers,Men,,2918.2799999999997,,1,,No
10000729,Lady Lyka,Lady Lyka Women Beige and White Pack of 2 Everyday Bras SONAL-SKN-WHT-Multi,Women,,2250.96,,1,,No
10005261,Gini and Jony,Gini and Jony Boys Navy Blue Dyed Printed Round Neck T-shirt,Boys,,2320.68,,1,,No
10003011,Palm Tree,Palm Tree Girls Cream-Coloured & Yellow Floral Print A-Line Dress with Belt,Girls,,2088.2799999999997,,1,,No
10015913,Raymond,Raymond Men Grey Slim Fit Solid Formal Trousers,Men,,4312.679999999999,,1,,No
10012845,JEWEL JUNCTION,JEWEL JUNCTION Gold-Toned Geometric Cufflinks,Men,,1789.48,,1,,No
10017407,Story@home,Story@home Multicoloured Geometric 210TC Cotton 1 King Bedsheet with 2 Pillow Covers,Unisex,,4644.679999999999,,1,,No
10003085,Palm Tree,Palm Tree Boys White & Grey Printed Polo Collar T-shirt,Boys,,2088.2799999999997,,1,,No
