id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,brandname,image_filename,image_url,price
45856,Women,Apparel,Topwear,Kurtas,Brown,Summer,2012,Ethnic,Vishudh Women Brown Kurta,Vishudh,45856.jpg,file://images\45856.jpg,5519.0
32138,Men,Apparel,Innerwear,Briefs,Blue,Summer,2016,Casual,Playboy Men Blue Titanium Briefs,Titan,32138.jpg,file://images\32138.jpg,5214.0
59435,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2012,Formal,Arrow Men Black Formal Shoes,Arrow,59435.jpg,file://images\59435.jpg,9228.0
5891,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Puma Men's Stripe Polo Black T-shirt,Puma,5891.jpg,file://images\5891.jpg,9104.0
38630,Women,Apparel,Topwear,Tshirts,Purple,Summer,2012,Casual,Nike Women Purple Polo T-shirt,Nike,38630.jpg,file://images\38630.jpg,7140.0
4943,Men,Apparel,Topwear,Shirts,White,Summer,2011,Casual,Gini and Jony Boy's Kaleb White Brown Kidswear,Gini and Jony,4943.jpg,file://images\4943.jpg,3181.0
11188,Men,Accessories,Watches,Watches,Silver,Winter,2016,Casual,Carrera Men Dial steel finish strap Silver Watches,Carrera,11188.jpg,file://images\11188.jpg,56338.0
10866,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual,Wrangler Men Motor Rider Red T-Shirts,Wrangler,10866.jpg,file://images\10866.jpg,5020.0
59607,Women,Apparel,Saree,Sarees,Grey,Fall,2012,Ethnic,FNF Pink & Grey Wedding Collection Sari,FNF,59607.jpg,file://images\59607.jpg,10619.0
15528,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual,Puma Men Scribble Black Tshirts,Puma,15528.jpg,file://images\15528.jpg,8375.0
45258,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,CASIO EDIFICE Men Black Dial Chronograph Watch ED60,CASIO,45258.jpg,file://images\45258.jpg,21411.0
42841,Women,Accessories,Bags,Handbags,Beige,Summer,2012,Casual,French Connection Women Beige Handbag,French Connection,42841.jpg,file://images\42841.jpg,26466.0
22198,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2012,Casual,Timberland Men Black Casual Shoes,Timberland,22198.jpg,file://images\22198.jpg,17053.0
29570,Men,Footwear,Shoes,Casual Shoes,Purple,Summer,2012,Casual,Vans Men Classic Slip-On Purple & Black Shoes,Vans,29570.jpg,file://images\29570.jpg,17509.0
43993,Women,Personal Care,Fragrance,Perfume and Body Mist,Pink,Spring,2017,Casual,Police Women Passion Perfume,Police,43993.jpg,file://images\43993.jpg,5388.0
6628,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011,Sports,ADIDAS Men's Lowell White Silver Shoe,ADIDAS,6628.jpg,file://images\6628.jpg,16535.0
54924,Men,Apparel,Bottomwear,Shorts,Blue,Summer,2012,Casual,Do U Speak Green Men Blue Shorts,Do U Speak Green,54924.jpg,file://images\54924.jpg,9481.0
26538,Men,Footwear,Shoes,Casual Shoes,Red,Fall,2012,Casual,ID Men Red Shoes,ID,26538.jpg,file://images\26538.jpg,17553.0
35913,Women,Accessories,Bags,Handbags,Black,Summer,2012,Casual,Peperone Women Black & White Handbag,Peperone,35913.jpg,file://images\35913.jpg,14605.0
49495,Men,Footwear,Shoes,Casual Shoes,Khaki,Summer,2012,Casual,Vans Men Khaki Shoes,Vans,49495.jpg,file://images\49495.jpg,10877.0
9660,Men,Apparel,Topwear,Shirts,Pink,Fall,2011,Casual,Indigo Nation Men Reversible Bling Pink Shirts,Indigo Nation,9660.jpg,file://images\9660.jpg,6921.0
2288,Women,Apparel,Topwear,Tshirts,Black,Fall,2010,Sports,Nike Women Black T-shirt,Nike,2288.jpg,file://images\2288.jpg,9995.0
23876,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,2011,Casual,ADIDAS Men Blue Sweatshirt,ADIDAS,23876.jpg,file://images\23876.jpg,8509.0
18237,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual,Manchester United Men Solid Red Tshirt,Manchester United,18237.jpg,file://images\18237.jpg,7078.0
54118,Women,Footwear,Shoes,Heels,Black,Winter,2012,Casual,Rocia Women Black Flats,Rocia,54118.jpg,file://images\54118.jpg,13589.0
49653,Women,Apparel,Topwear,Tops,Green,Summer,2012,Casual,Mineral Women Green Top,Mineral,49653.jpg,file://images\49653.jpg,6502.0
8574,Women,Footwear,Sandal,Sandals,Pink,Fall,2011,Casual,Crocs Dora Boots Pink Sandals,Crocs,8574.jpg,file://images\8574.jpg,
16957,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016,Casual,Image Men Sunglasses,Image,16957.jpg,file://images\16957.jpg,11340.0
19123,Men,Footwear,Flip Flops,Flip Flops,Silver,Fall,2011,Casual,Lotto Men XL Water Man Silver Slippers,Lotto,19123.jpg,file://images\19123.jpg,1416.0
13419,Men,Apparel,Topwear,Tshirts,Pink,Summer,2011,Casual,United Colors of Benetton Men Solid Pink Polo T-shirts,ID,13419.jpg,file://images\13419.jpg,7274.0
17885,Men,Apparel,Innerwear,Innerwear Vests,Grey,Summer,2016,Casual,Levis Men Comfort Style Grey Innerwear Vest,Levis,17885.jpg,file://images\17885.jpg,6065.0
43369,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2013,Casual,Reebok Men Black Possession Flip Flops,Reebok,43369.jpg,file://images\43369.jpg,3328.0
48781,Women,Accessories,Jewellery,Pendant,Silver,Summer,2012,Casual,Lucera Women Silver Pendant,Lucera,48781.jpg,file://images\48781.jpg,14486.0
39524,Unisex,Accessories,Bags,Laptop Bag,Orange,Summer,2012,Casual,Peter England Unisex Orange Sleeve Bag,Peter England,39524.jpg,file://images\39524.jpg,23923.0
33822,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,Puma Men Axis White & Grey Sports Shoes,Puma,33822.jpg,file://images\33822.jpg,14027.0
58513,Women,Apparel,Topwear,Tops,Off White,Summer,2012,Casual,Tonga Women Maroon Top,Tonga,58513.jpg,file://images\58513.jpg,6925.0
25947,Women,Accessories,Scarves,Scarves,Brown,Summer,2012,Casual,Femella Women Brown Scarf,Femella,25947.jpg,file://images\25947.jpg,7838.0
5865,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,ADIDAS Men's Twelve Faster T-shirt,ADIDAS,5865.jpg,file://images\5865.jpg,9908.0
39716,Women,Apparel,Dress,Dresses,Blue,Summer,2012,Casual,Arrow Woman Women Blue Dress,Arrow,39716.jpg,file://images\39716.jpg,37396.0
25349,Men,Apparel,Innerwear,Briefs,Red,Summer,2016,Casual,Levis Men Red Brief,Levis,25349.jpg,file://images\25349.jpg,8603.0
11940,Men,Footwear,Sandal,Sandals,Black,Summer,2011,Casual,Ganuchi Men Casual Black Sandals,Ganuchi,11940.jpg,file://images\11940.jpg,
55802,Women,Apparel,Loungewear and Nightwear,Night suits,White,Summer,2017,Casual,SDL by Sweet Dreams Women Green Printed Night Suit S11-3124,SDL by Sweet Dreams,55802.jpg,file://images\55802.jpg,4099.0
29584,Men,Apparel,Topwear,Tshirts,Black,Summer,2012,Casual,Indigo Nation Men Printed Black T-shirt,Indigo Nation,29584.jpg,file://images\29584.jpg,4263.0
34009,Girls,Apparel,Topwear,Tops,Black,Summer,2012,Casual,Gini and Jony Girls Black Top,Gini and Jony,34009.jpg,file://images\34009.jpg,4583.0
19311,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011,Casual,Nike Men Air Rift MTR White Casual Shoe,Nike,19311.jpg,file://images\19311.jpg,13604.0
42089,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,ADIDAS Men White Corona Sports Shoes,ADIDAS,42089.jpg,file://images\42089.jpg,13992.0
49461,Men,Footwear,Shoes,Casual Shoes,Blue,Summer,2012,Casual,Vans Men Blue Era Scilla Plaid Shoes,Vans,49461.jpg,file://images\49461.jpg,18928.0
8746,Unisex,Footwear,Flip Flops,Flip Flops,Navy Blue,Summer,2015,Casual,Crocs Kids Navy Blue Clogs,ID,8746.jpg,file://images\8746.jpg,3163.0
23882,Men,Footwear,Shoes,Sports Shoes,Grey,Fall,2011,Sports,Fila Men Destiny Grey Sports Shoes,Fila,23882.jpg,file://images\23882.jpg,14390.0
34835,Men,Footwear,Shoes,Sports Shoes,Blue,Summer,2012,Sports,ADIDAS Men Blue Chill Sports Shoes,ADIDAS,34835.jpg,file://images\34835.jpg,11103.0
15984,Men,Apparel,Topwear,Shirts,Yellow,Fall,2011,Casual,Turtle Check Men Yellow Shirt,Turtle,15984.jpg,file://images\15984.jpg,4844.0
41268,Men,Accessories,Wallets,Wallets,Black,Summer,2012,Casual,Arrow Men Black Wallet,Arrow,41268.jpg,file://images\41268.jpg,3296.0
14856,Women,Accessories,Wallets,Wallets,Beige,Summer,2011,Casual,United Colors of Benetton Women Solid Beige Wallets,ID,14856.jpg,file://images\14856.jpg,5745.0
33648,Men,Footwear,Sandal,Sandals,Brown,Summer,2012,Casual,Lotto Men Ridge Brown Sandals,ID,33648.jpg,file://images\33648.jpg,
26994,Women,Apparel,Bottomwear,Jeans,Black,Summer,2012,Casual,Jealous 21 Women Black Jeans,Jealous 21,26994.jpg,file://images\26994.jpg,12922.0
31923,Women,Accessories,Bags,Handbags,Blue,Summer,2012,Casual,Fabindia Women Blue Silk Sling Bag,Fabindia,31923.jpg,file://images\31923.jpg,21746.0
2618,Women,Footwear,Shoes,Flats,Silver,Spring,2010,Casual,Carlton London Women Silver Wedge Sandal,Carlton London,2618.jpg,file://images\2618.jpg,9757.0
49005,Women,Accessories,Jewellery,Ring,Silver,Summer,2012,Casual,Lucera Women Silver Ring,Lucera,49005.jpg,file://images\49005.jpg,37308.0
8322,Boys,Apparel,Topwear,Tshirts,Blue,Fall,2011,Casual,Doodle Boy's Route 66 Biker Blue Teen Kidswear,ID,8322.jpg,file://images\8322.jpg,8471.0
13841,Unisex,Accessories,Watches,Watches,White,Winter,2016,Casual,ADIDAS Unisex Three Small Dials White Watches,ADIDAS,13841.jpg,file://images\13841.jpg,31675.0
12993,Unisex,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports,ADIDAS Kids Adispeed Black Sports Shoes,ADIDAS,12993.jpg,file://images\12993.jpg,8462.0
18495,Men,Footwear,Sandal,Sandals,White,Fall,2011,Casual,Puma Men Fashion Cat White Slipper,Puma,18495.jpg,file://images\18495.jpg,
19547,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,2011,Casual,United Colors of Benetton Men Solid Blue Sweatshirt,ID,19547.jpg,file://images\19547.jpg,9862.0
7964,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Sports,Puma Men's Large Logo Graphic Black T-shirt,Puma,7964.jpg,file://images\7964.jpg,4220.0
36934,Women,Personal Care,Fragrance,Perfume and Body Mist,Gold,Spring,2017,Casual,Giorgio Armani Women Idole Perfume,ID,36934.jpg,file://images\36934.jpg,5835.0
20851,Women,Accessories,Bags,Clutches,Red,Winter,2015,Casual,Spice Art Women Ribbon Embroidery Red Clutch,ID,20851.jpg,file://images\20851.jpg,13109.0
58177,Women,Accessories,Bags,Handbags,Brown,Summer,2012,Casual,Rocky S Women Brown Handbag,Rocky S,58177.jpg,file://images\58177.jpg,38158.0
16392,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Casual,Levis Men Check Red Shirts,Levis,16392.jpg,file://images\16392.jpg,5151.0
51455,Women,Apparel,Topwear,Shrug,Pink,Summer,2012,Casual,Tonga Women Pink Printed Shrug,Tonga,51455.jpg,file://images\51455.jpg,5438.0
12732,Unisex,Accessories,Bags,Backpacks,Black,Fall,2011,Sports,Nike Unisex Swoosh Black Backpack,Nike,12732.jpg,file://images\12732.jpg,13253.0
42042,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,Nike Men Air Relentless 2 MSL White Sports Shoes,Nike,42042.jpg,file://images\42042.jpg,17962.0
23849,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011,Casual,ADIDAS Men Black Anzo Breeze Casual Shoes,ADIDAS,23849.jpg,file://images\23849.jpg,10929.0
18208,Men,Accessories,Headwear,Caps,White,Fall,2011,Casual,Manchester United Men Solid White Cap,Manchester United,18208.jpg,file://images\18208.jpg,4663.0
54127,Women,Footwear,Shoes,Heels,Black,Winter,2012,Casual,Rocia Women Black Heels,Rocia,54127.jpg,file://images\54127.jpg,8738.0
10065,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2011,Casual,Puma Men ducati logo tee Yellow Tshirts,Puma,10065.jpg,file://images\10065.jpg,8411.0
25382,Men,Apparel,Innerwear,Innerwear Vests,White,Summer,2016,Casual,Levis Men White Innerwear Vest,Levis,25382.jpg,file://images\25382.jpg,2797.0
5092,Men,Apparel,Topwear,Tshirts,Purple,Summer,2011,Casual,Wrangler Men's Minstrel Shoulder Loop Purple T-shirt,Wrangler,5092.jpg,file://images\5092.jpg,6147.0
10859,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Casual,Wrangler Men Furious Rides Navy Blue T-Shirts,Wrangler,10859.jpg,file://images\10859.jpg,5884.0
59638,Women,Apparel,Saree,Sarees,Green,Fall,2012,Ethnic,FNF Green Wedding Collection Sari,FNF,59638.jpg,file://images\59638.jpg,14513.0
40527,Men,Accessories,Watches,Watches,Gold,Winter,2016,Casual,Titan Men Gold Dial Watch,Titan,40527.jpg,file://images\40527.jpg,16211.0
10257,Men,Apparel,Bottomwear,Trousers,Black,Fall,2011,Formal,John Miller Men Solid Type Black Trousers,John Miller,10257.jpg,file://images\10257.jpg,5897.0
11385,Women,Apparel,Topwear,Sweatshirts,Black,Fall,2011,Casual,United Colors Of Benetton Women Light Winter Black Sweatshirts,United Colors of Benetton,11385.jpg,file://images\11385.jpg,7563.0
44187,Women,Personal Care,Fragrance,Perfume and Body Mist,White,Spring,2017,Casual,Nike Fragrances Women 5th Element Perfume 150 ml,Nike,44187.jpg,file://images\44187.jpg,6366.0
21510,Women,Accessories,Bags,Handbags,White,Winter,2015,Casual,Kiara Women Graphiti White Handbag,Kiara,21510.jpg,file://images\21510.jpg,28456.0
35322,Women,Accessories,Jewellery,Earrings,Silver,Winter,2016,Ethnic,Fabindia Women Anusuya Silver Earrings,Fabindia,35322.jpg,file://images\35322.jpg,31524.0
6425,Unisex,Footwear,Shoes,Casual Shoes,Black,Summer,2011,Casual,Lotto Unisex Canvas Black Check Shoe,Lotto,6425.jpg,file://images\6425.jpg,11375.0
18806,Men,Accessories,Belts,Belts,Tan,Summer,2011,Casual,Peter England Men Casual Tan Belt,Peter England,18806.jpg,file://images\18806.jpg,3487.0
23247,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2011,Formal,Arrow Men Formal Black Shoe,Arrow,23247.jpg,file://images\23247.jpg,15965.0
42270,Unisex,Footwear,Shoes,Casual Shoes,Black,Summer,2012,Casual,Vans Unisex Black & Grey Classic Shoes,Vans,42270.jpg,file://images\42270.jpg,16525.0
12500,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,United Colors of Benetton Men Short Black Shirts,United Colors of Benetton,12500.jpg,file://images\12500.jpg,9842.0
26735,Men,Personal Care,Fragrance,Deodorant,Black,Spring,2017,Casual,Reebok Men Pack of 2 Pirates of the Caribbean Deos,Reebok,26735.jpg,file://images\26735.jpg,6312.0
30650,Men,Apparel,Topwear,Tshirts,Black,Summer,2012,Casual,Nike Men Printed Black T-shirt,Nike,30650.jpg,file://images\30650.jpg,4257.0
56026,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017,Casual,Colorbar Soft Touch Mousse Lipstick 025,Colorbar,56026.jpg,file://images\56026.jpg,2142.0
21948,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual,Murcia Women Casual Brown Handbag,Murcia,21948.jpg,file://images\21948.jpg,25762.0
40143,Girls,Apparel,Topwear,Tops,Blue,Summer,2012,Casual,Gini and Jony Girls Pretty Blossom Blue Top,Gini and Jony,40143.jpg,file://images\40143.jpg,9568.0
10633,Men,Footwear,Shoes,Formal Shoes,Brown,Fall,2011,Formal,Carlton London Men Formal Brown Formal Shoes,Carlton London,10633.jpg,file://images\10633.jpg,8009.0
24406,Women,Apparel,Topwear,Kurtas,Red,Summer,2012,Ethnic,Vishudh Women Red Printed Kurta,Vishudh,24406.jpg,file://images\24406.jpg,9678.0
4716,Unisex,Accessories,Watches,Watches,Black,Winter,2016,Sports,ADIDAS Unisex Response ST Analogue Black Watch,ADIDAS,4716.jpg,file://images\4716.jpg,44717.0
15341,Women,Apparel,Bottomwear,Shorts,Pink,Fall,2011,Sports,Nike Women Solid Pink Shorts,Nike,15341.jpg,file://images\15341.jpg,18261.0
47366,Women,Accessories,Bags,Handbags,Blue,Summer,2012,Casual,Baggit Women Blue Bag,Baggit,47366.jpg,file://images\47366.jpg,31392.0
23623,Girls,Apparel,Topwear,Tops,Pink,Fall,2011,Casual,Doodle Kids Girls Pink I love Shopping Top,ID,23623.jpg,file://images\23623.jpg,7430.0
17416,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports,Lotto Men Atlantica Black Sports Shoe,Lotto,17416.jpg,file://images\17416.jpg,19589.0
29319,Unisex,Accessories,Bags,Backpacks,Red,Summer,2012,Casual,ADIDAS Unisex Chicago Bulls Red Backpack,ADIDAS,29319.jpg,file://images\29319.jpg,31358.0
7193,Women,Apparel,Bottomwear,Jeans,Black,Fall,2011,Casual,Jealous 21 Women Black Jegging,Jealous 21,7193.jpg,file://images\7193.jpg,5091.0
12958,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports,ADIDAS Men Sports Black Sports Shoes,ADIDAS,12958.jpg,file://images\12958.jpg,19260.0
9009,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual,Murcia Women Snake Print Bag Brown Handbags,Murcia,9009.jpg,file://images\9009.jpg,29920.0
17624,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Fall,2011,Sports,ADIDAS Men Solid Navy Blue Track Pant,ADIDAS,17624.jpg,file://images\17624.jpg,6449.0
47154,Girls,Apparel,Bottomwear,Capris,Black,Summer,2012,Casual,Gini and Jony Girls Black Capris,Gini and Jony,47154.jpg,file://images\47154.jpg,23902.0
35574,Men,Footwear,Flip Flops,Flip Flops,Red,Summer,2013,Casual,Gliders Men Esquire Red Flip Flops,ID,35574.jpg,file://images\35574.jpg,1741.0
46086,Women,Footwear,Shoes,Sports Shoes,Lavender,Summer,2012,Sports,ADIDAS Women Lavender Hagkok Sports Shoes,ADIDAS,46086.jpg,file://images\46086.jpg,11368.0
13284,Men,Apparel,Bottomwear,Shorts,Black,Fall,2011,Casual,Gini and Jony Kids Boys Solid Black Shorts,Gini and Jony,13284.jpg,file://images\13284.jpg,11047.0
26163,Men,Apparel,Bottomwear,Trousers,Grey,Summer,2012,Formal,John Miller Men Dark Grey Trousers,John Miller,26163.jpg,file://images\26163.jpg,7672.0
29917,Men,Accessories,Watches,Watches,White,Winter,2016,Casual,Police Men White Dial Watch PL12698JS,Police,29917.jpg,file://images\29917.jpg,50798.0
32751,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012,Casual,FILA Men Liga II Black Shoes,Fila,32751.jpg,file://images\32751.jpg,18310.0
10401,Women,Apparel,Topwear,Tops,Purple,Fall,2011,Casual,Jealous 21 Women Uaine Purple Tops,Jealous 21,10401.jpg,file://images\10401.jpg,3190.0
45603,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2012,Formal,Arrow Men Black Formal Shoes,Arrow,45603.jpg,file://images\45603.jpg,8506.0
